franchID,parkkey,park,alias,city,state,firstYear,lastYear
KCM,KAN05,Blues Stadium,Municipal Stadium,Kansas City,MO,1946,1948
KCP,KAN04,Gordon and Koppel Field,"Gordon and Koppel Stadium, Gordon-Koppel Field, Gordon & Koppel Field, Gordon & Koppel Stadium",Kansas City,MO,1914,1915
KRG,KAN09,Shelley Park,,Kansas City,MO,1910,1912
KCR,,Municipal Stadium II,,,,1969,1972
KCR,KAN06,Royals Stadium,,Kansas City,MO,1973,1992
KCR,KAN06,Kauffman Stadium,,Kansas City,MO,1993,2025
WES,KEO01,Perry Park,Walte's Pasture,Keokuk,IA,1875,1875
LRG,LRO01,Crump Park,Crump's Park,Little Rock,AR,1932,1932
ANA,,Wrigley Field (LA),,,,1961,1961
ANA,LOS03,Dodger Stadium,Chavez Ravine,Los Angeles,CA,1962,1965
ANA,ANA01,Anaheim Stadium,Edison Field,Anaheim,CA,1966,1996
ANA,,Edison International Field,,,,1997,2003
ANA,,Angels Stadium of Anaheim,,,,2004,2004
ANA,,Angel Stadium,,,,2005,2011
ANA,ANA01,Angel Stadium of Anaheim,Edison Field,Anaheim,CA,2012,2025
LAD,NYC05,Washington Park I,,Brooklyn,NY,1884,1889
LAD,NYC08,Washington Park II,,Brooklyn,NY,1890,1890
LAD,NYC11,Eastern Park,,Brooklyn,NY,1891,1897
LAD,NYC12,Washington Park III,,Brooklyn,NY,1898,1912
LAD,NYC15,Ebbets Field,,Brooklyn,NY,1913,1957
LAD,LOS01,Los Angeles Memorial Coliseum,"Los Angeles Coliseum, L.A. Coliseum, Olympic Stadium",Los Angeles,CA,1958,1961
LAD,LOS03,Dodger Stadium,Chavez Ravine,Los Angeles,CA,1962,2025
LVB,LOU05,Parkway Field,Colonels Field,Louisville,KY,1931,1932
LOU,LOU02,Eclipse Park I,,Louisville,KY,1882,1892
LOU,LOU03,Eclipse Park II,,Louisville,KY,1893,1899
LGR,LOU01,Louisville Baseball Park,Louisville Baseball Grounds,Louisville,KY,1876,1877
MRS,MEM01,Lewis Park,Martin Stadium,Memphis,TN,1923,1932
MRS,MEM01,Martin Park,Martin Stadium,Memphis,TN,1937,1945
MRS,MEM02,Russwood Park,"Elm Wood Park, Red Elm Park",Memphis,TN,1946,1946
MRS,MEM01,Martin Park,Martin Stadium,Memphis,TN,1947,1948
FLA,MIA01,Joe Robbie Stadium,"Hard Rock Stadium, Pro Player Park, Dolphins Stadium, Land Shark Stadium",Miami,FL,1993,1998
FLA,MIA01,Pro Player Stadium,"Hard Rock Stadium, Pro Player Park, Dolphins Stadium, Land Shark Stadium",Miami,FL,1999,2004
FLA,MIA01,Dolphin Stadium,"Hard Rock Stadium, Pro Player Park, Dolphins Stadium, Land Shark Stadium",Miami,FL,2005,2010
FLA,MIA01,Sun Life Stadium,"Hard Rock Stadium, Pro Player Park, Dolphins Stadium, Land Shark Stadium",Miami,FL,2011,2011
FLA,MIA02,Marlins Park,,Miami,FL,2012,2020
FLA,MIA02,loanDepot park,,Miami,FL,2021,2025
MAN,MID01,Mansfield Club Grounds,"Mansfield Park, Fort Hill Grounds",Middletown,CT,1872,1872
MB,MIL03,Borchert Park,"Athletic Park, Borchert Field",Milwaukee,WI,1923,1923
MLU,MIL02,Wright Street Grounds,,Milwaukee,WI,1884,1884
MLA,,Athletic Field,,,,1891,1891
MIL,,Sicks Stadium,,,,1969,1969
MIL,MIL05,County Stadium,"Milwaukee County Stadium, Milwaukee County Municipal Stadium",Milwaukee,WI,1970,2000
MIL,MIL06,Miller Park,,Milwaukee,WI,2001,2020
MIL,MIL06,American Family Field,,Milwaukee,WI,2021,2025
MLG,LOU03,Eclipse Park II,,Louisville,KY,1878,1878
MIN,WAS07,American League Park I,,Washington,DC,1901,1903
MIN,WAS06,American League Park II,"Boundary Field, National Park, Nationals' Park",Washington,DC,1904,1910
MIN,,Griffith Stadium I,,,,1911,1955
MIN,,Griffith Stadium II,,,,1956,1960
MIN,MIN02,Metropolitan Stadium,Met Stadium,Bloomington,MN,1961,1981
MIN,,Hubert H Humphrey Metrodome,,,,1982,2009
MIN,MIN04,Target Field,,Minneapolis,MN,2010,2025
MRM,MNR01,Casino Park,,Monroe,LA,1932,1932
MGS,MTG01,College Hill Park,,Montgomery,AL,1932,1932
NHV,NEW02,Hamilton Park,"Brewster Park, Howard Avenue Grounds",New Haven,CT,1875,1875
BG1,ATC01,Bacharach Park,,Atlantic City,NJ,1918,1918
BG1,ATC02,Inlet Park,,Atlantic City,NJ,1919,1919
BG1,ATC03,Inlet Park II,,Atlantic City,NJ,1920,1921
BG1,NYC27,New York Oval,,Bronx,NY,1922,1922
NBY,NYC16,Yankee Stadium I,,New York,NY,1931,1931
NBY,NYC24,Dyckman Oval,,New York,NY,1932,1932
NBY,PAT01,Hinchliffe Stadium,,Paterson,NJ,1933,1935
NBY,KAN05,Municipal Stadium,"Muehlebach Field, Ruppert Stadium, Blues Stadium",Kansas City,MO,1936,1936
NBY,NYC24,Dyckman Oval,,New York,NY,1937,1937
NBY,PAT01,Hinchliffe Stadium,,Paterson,NJ,1938,1938
NBY,NYC16,Yankee Stadium I,,New York,NY,1940,1947
NBY,ROC04,Red Wing Stadium,Silver Stadium,Rochester,NY,1948,1948
NYC,NYC24,Dyckman Oval,,New York,NY,1935,1936
NYC,NYC16,Yankee Stadium I,,New York,NY,1941,1943
NYC,NYC10,Polo Grounds IV,"New Polo Grounds, Brotherhood Park",New York,NY,1944,1948
NYI,NYC09,Polo Grounds III,"New Polo Grounds, Manhattan Field",New York,NY,1890,1890
GOR,HSB01,Island Park,City Island,Harrisburg,PA,1891,1891
NLG,NYC28,Olympic Field,,New York,NY,1911,1919
NLG,BNX01,Catholic Protectory Oval,New York Catholic Protectory,Bronx,NY,1920,1930
NLS,NYC25,Lenox Oval,,New York,NY,1914,1916
NYP,,Polo Grounds I West Diamond,,,,1883,1885
NYP,SAI01,St. George Cricket Grounds,St. George Grounds,New York,NY,1886,1887
NYM,NYC10,Polo Grounds IV,"New Polo Grounds, Brotherhood Park",New York,NY,1962,1963
NYM,NYC17,Shea Stadium,"Flushing Meadow Park Municipal Stadium, William A. Shea Municipal Stadium",New York,NY,1964,2008
NYM,NYC20,Citi Field,,New York,NY,2009,2025
NNA,,Union Grounds (Brooklyn),,,,1871,1875
NYU,,Union Grounds (Brooklyn),,,,1876,1876
NYY,,Oriole Park,,,,1901,1902
NYY,NYC13,Hilltop Park,American League Park,New York,NY,1903,1912
NYY,NYC10,Polo Grounds IV,"New Polo Grounds, Brotherhood Park",New York,NY,1913,1922
NYY,NYC16,Yankee Stadium I,,New York,NY,1923,1973
NYY,NYC17,Shea Stadium,"Flushing Meadow Park Municipal Stadium, William A. Shea Municipal Stadium",New York,NY,1974,1975
NYY,NYC21,Yankee Stadium II,,New York,NY,1976,2008
NYY,,Yankee Stadium III,,,,2009,2022
NYY,NYC21,Yankee Stadium II,,New York,NY,2023,2025
NWB,BLO01,General Electric Field,Sprague Field,Bloomfield,NJ,1932,1932
