franchID,name,active,firstYear,lastYear,seasons,W,L,pennants,titles,teamID,lgID,nameCount,former
KCM,Kansas City Monarchs,N,1920,1948,29,1107,614,10,2,KCM,NAL,1,
KCP,Kansas City Packers,N,1914,1915,2,148,156,0,0,KCF,FL,1,
KRG,Kansas City Royal Giants,N,1910,1912,3,10,13,0,0,KRG,WES,1,
KCR,Kansas City Royals,Y,1969,2025,57,4290,4703,4,2,KCA,AL,1,
WES,Keokuk Westerns,NA,1875,1875,1,1,12,0,0,KEO,NA,1,
LRG,Little Rock Grays,N,1932,1932,1,4,11,0,0,LRG,NSL,1,
ANA,Los Angeles Angels of Anaheim,Y,1961,2025,65,5093,5205,1,1,LAA,AL,4,Los Angeles|California|Anaheim
LAD,Los Angeles Dodgers,Y,1884,2025,142,11525,10137,27,9,LAN,NL,8,Brooklyn
LVB,Louisville Black Caps,N,1931,1932,2,29,61,0,0,LVB,NSL,2,
LOU,Louisville Colonels,N,1882,1899,18,993,1320,1,0,LS3,NL,2,
LGR,Louisville Grays,N,1876,1877,2,65,61,0,0,LS1,NL,1,
MRS,Memphis Red Sox,N,1923,1948,20,557,781,1,0,MRS,NAL,1,
FLA,Miami Marlins,Y,1993,2025,33,2382,2792,2,2,MIA,NL,2,Florida
MAN,Middletown Mansfields,NA,1872,1872,1,5,19,0,0,MID,NA,1,
MB,Milwaukee Bears,N,1923,1923,1,11,42,0,0,MB,NNL,1,
MLU,Milwaukee Brewers,N,1884,1884,1,8,4,0,0,MLU,UA,1,
MLA,Milwaukee Brewers,N,1891,1891,1,21,15,0,0,ML3,AA,1,
MIL,Milwaukee Brewers,Y,1969,2025,57,4405,4595,1,0,MIL,NL,2,Seattle
MLG,Milwaukee Grays,N,1878,1878,1,15,45,0,0,ML2,NL,1,
MIN,Minnesota Twins,Y,1901,2025,125,9329,10047,6,3,MIN,AL,2,Washington
MRM,Monroe Monarchs,N,1932,1932,1,34,14,0,0,MRM,NSL,1,
MGS,Montgomery Grey Sox,N,1932,1932,1,22,24,0,0,MGS,NSL,1,
NHV,New Haven Elm Citys,NA,1875,1875,1,7,40,0,0,NH1,NA,1,
BG1,New York Bacharach Giants,N,1918,1922,5,118,109,0,0,NYB,IND,2,Atlantic City
NBY,New York Black Yankees,N,1931,1948,18,190,395,0,0,NBY,NN2,2,Harlem
NYC,New York Cubans,N,1935,1948,12,220,232,1,1,NYC,NN2,1,
NYI,New York Giants,N,1890,1890,1,74,57,0,0,NYP,PL,1,
GOR,New York Gorhams,N,1891,1891,1,8,5,0,0,GOR,IND,1,
NLG,New York Lincoln Giants,N,1911,1930,20,341,287,0,0,NLG,IND,1,
NLS,New York Lincoln Stars,N,1914,1916,3,39,36,0,0,NLS,EAS,1,
NYP,New York Metropolitans,N,1883,1887,5,270,309,1,0,NY4,AA,1,
NYM,New York Mets,Y,1962,2025,64,4899,5227,5,2,NYN,NL,1,
NNA,New York Mutuals,NA,1871,1875,5,151,122,0,0,NY2,NA,1,
NYU,New York Mutuals,N,1876,1876,1,21,35,0,0,NY3,NL,1,
NYY,New York Yankees,Y,1901,2025,125,10990,8369,41,27,NYA,AL,3,Baltimore
NWB,Newark Browns,N,1932,1932,1,0,4,0,0,NWB,EWL,1,
ND,Newark Dodgers,N,1934,1935,2,34,59,0,0,ND,NN2,1,
NE,Newark Eagles,N,1935,1948,14,397,323,1,1,NE,NN2,2,Brooklyn
NEW,Newark Pepper,N,1914,1915,2,168,137,1,0,NEW,FL,2,Indianapolis
NS,Newark Stars,N,1926,1926,1,1,10,0,0,NS,ECL,1,
OKM,Oklahoma Monarchs,N,1910,1910,1,3,8,0,0,OKM,WES,1,
PNA,Philadelphia Athletics,NA,1871,1875,5,165,86,1,0,PH1,NA,1,
ATH,Philadelphia Athletics,N,1876,1876,1,14,45,0,0,PHN,NL,1,
PHA,Philadelphia Athletics,N,1882,1890,9,560,498,1,0,PH4,AA,1,
PHQ,Philadelphia Athletics,N,1890,1891,2,141,129,0,0,PH4,AA,1,
PBG,Philadelphia Bacharach Giants,N,1934,1934,1,5,20,0,0,PBG,NN2,1,
CEN,Philadelphia Centennials,NA,1875,1875,1,2,12,0,0,PH3,NA,1,
PG,Philadelphia Giants,N,1903,1911,9,97,86,1,0,PG,EAS,1,
PHK,Philadelphia Keystones,N,1884,1884,1,21,46,0,0,PHU,UA,1,
PHI,Philadelphia Phillies,Y,1883,2025,143,10303,11392,8,2,PHI,NL,3,
QG,Philadelphia Quaker Giants,N,1906,1906,1,14,8,0,0,QG,EAS,1,
PS,Philadelphia Stars,N,1933,1948,16,417,422,1,0,PS,NN2,1,
PTG,Philadelphia Tigers,N,1928,1928,1,2,3,0,0,PTG,ECL,1,
PWS,Philadelphia Whites,NA,1873,1875,3,102,77,0,0,PH2,NA,1,
PBB,Pittsburgh Burghers,N,1890,1890,1,60,68,0,0,PTP,PL,1,
PBK,Pittsburgh Keystones,N,1922,1922,1,12,24,0,0,PK,NNL,1,
PIT,Pittsburgh Pirates,Y,1882,2025,144,10910,10910,9,5,PIT,NL,2,
PBS,Pittsburgh Rebels,N,1914,1915,2,150,153,0,0,PTF,FL,1,
CUP,Pollock's Cuban Stars,N,1932,1932,1,10,12,0,0,CUP,EWL,1,
PRO,Providence Grays,N,1878,1885,8,438,278,2,1,PRO,NL,1,
RIC,Richmond Virginians,N,1884,1884,1,12,30,0,0,RIC,AA,1,
ROC,Rochester Broncos,N,1890,1890,1,63,63,0,0,RC2,AA,1,
ROK,Rockford Forest Citys,NA,1871,1871,1,4,21,0,0,RC1,NA,1,
SDP,San Diego Padres,Y,1969,2025,57,4217,4789,2,0,SDN,NL,1,
SFG,San Francisco Giants,Y,1883,2025,143,11622,10100,23,10,SFN,NL,3,New York
MOH,Schenectady Mohawk Giants,N,1913,1913,1,8,8,0,0,MOH,EAS,1,
SEA,Seattle Mariners,Y,1977,2025,49,3689,4022,0,0,SEA,AL,1,
SNA,St. Louis Brown Stockings,NA,1875,1875,1,39,29,0,0,SL2,NA,1,
SBS,St. Louis Brown Stockings,N,1876,1877,2,73,51,0,0,SL3,NL,1,
STL,St. Louis Cardinals,Y,1882,2025,144,11363,10486,23,12,SLN,NL,4,
SLM,St. Louis Maroons,N,1884,1886,3,173,170,1,0,SL5,NL,1,
SLR,St. Louis Red Stockings,NA,1875,1875,1,4,15,0,0,SL1,NA,1,
SLS,St. Louis Stars,N,1911,1931,16,650,445,3,0,SLS,NNL,2,
SL2,St. Louis Stars,N,1937,1937,1,5,31,0,0,SL2,NAL,1,
SLI,St. Louis Terriers,N,1914,1915,2,149,156,0,0,SLF,FL,1,
SPG,St. Paul Gophers,N,1909,1909,1,11,2,0,0,SPG,WES,1,
STP,St. Paul White Caps,N,1884,1884,1,2,6,0,0,SPU,UA,1,
SC1,Stars of Cuba,N,1910,1910,1,10,18,0,0,SC1,WES,1,
SYR,Syracuse Stars,N,1879,1879,1,22,48,0,0,SR1,NL,1,
SYS,Syracuse Stars,N,1890,1890,1,55,72,0,0,SR2,AA,1,
TBD,Tampa Bay Rays,Y,1998,2025,28,2168,2264,2,0,TBA,AL,2,
TEX,Texas Rangers,Y,1961,2025,65,4899,5383,3,1,TEX,AL,2,Washington
TOL,Toledo Blue Stockings,N,1884,1884,1,46,58,0,0,TL1,AA,1,
TLM,Toledo Maumees,N,1890,1890,1,68,64,0,0,TL2,AA,1,
