franchID,kind,label,firstYear,lastYear,teamID,lgID
IBL,name,Indianapolis Blues,1878,1878,IN1,NL
IBL,location,Indianapolis,1878,1878,,
IC,name,Cincinnati Clowns,1943,1943,CC,NAL
IC,name,Cincinnati-Indianapolis Clowns,1944,1947,CIC,NAL
IC,name,Indianapolis Clowns,1948,1948,IC,NAL
IC,location,Cincinnati,1943,1943,,
IC,location,Cincinnati-Indianapolis,1944,1947,,
IC,location,Indianapolis,1948,1948,,
IHO,name,Indianapolis Hoosiers,1884,1884,IN2,AA
IHO,location,Indianapolis,1884,1884,,
IND,name,Indianapolis Hoosiers,1887,1889,IN3,NL
IND,location,Indianapolis,1887,1889,,
JRC,name,Jacksonville Red Caps,1938,1938,JRC,NAL
JRC,name,Cleveland Bears,1939,1940,CBR,NAL
JRC,name,Jacksonville Red Caps,1941,1942,JRC,NAL
JRC,location,Jacksonville,1938,1938,,
JRC,location,Cleveland,1939,1940,,
JRC,location,Jacksonville,1941,1942,,
KCU,name,Kansas City Cowboys,1884,1884,KCU,UA
KCU,location,Kansas City,1884,1884,,
KCN,name,Kansas City Cowboys,1886,1886,KCN,NL
KCN,location,Kansas City,1886,1886,,
KCC,name,Kansas City Cowboys,1888,1889,KC2,AA
KCC,location,Kansas City,1888,1889,,
KCG,name,Kansas City Giants,1909,1910,KCG,WES
KCG,location,Kansas City,1909,1910,,
KCM,name,Kansas City Monarchs,1920,1948,KCM,NAL
KCM,location,Kansas City,1920,1948,,
KCP,name,Kansas City Packers,1914,1915,KCF,FL
KCP,location,Kansas City,1914,1915,,
KRG,name,Kansas City Royal Giants,1910,1912,KRG,WES
KRG,location,Kansas City,1910,1912,,
KCR,name,Kansas City Royals,1969,2025,KCA,AL
KCR,location,Kansas City,1969,2025,,
WES,name,Keokuk Westerns,1875,1875,KEO,NA
WES,location,Keokuk,1875,1875,,
LRG,name,Little Rock Grays,1932,1932,LRG,NSL
LRG,location,Little Rock,1932,1932,,
ANA,name,Los Angeles Angels,1961,1964,LAA,AL
ANA,name,California Angels,1965,1996,CAL,AL
ANA,name,Anaheim Angels,1997,2004,ANA,AL
ANA,name,Los Angeles Angels of Anaheim,2005,2025,LAA,AL
ANA,location,Los Angeles,1961,1964,,
ANA,location,California,1965,1996,,
ANA,location,Anaheim,1997,2004,,
ANA,location,Los Angeles,2005,2025,,
LAD,name,Brooklyn Atlantics,1884,1884,BR3,AA
LAD,name,Brooklyn Grays,1885,1887,BR3,AA
LAD,name,Brooklyn Bridegrooms,1888,1890,BRO,NL
LAD,name,Brooklyn Grooms,1891,1895,BRO,NL
LAD,name,Brooklyn Bridegrooms,1896,1898,BRO,NL
LAD,name,Brooklyn Superbas,1899,1910,BRO,NL
LAD,name,Brooklyn Dodgers,1911,1912,BRO,NL
LAD,name,Brooklyn Superbas,1913,1913,BRO,NL
LAD,name,Brooklyn Robins,1914,1931,BRO,NL
LAD,name,Brooklyn Dodgers,1932,1957,BRO,NL
LAD,name,Los Angeles Dodgers,1958,2025,LAN,NL
LAD,location,Brooklyn,1884,1957,,
LAD,location,Los Angeles,1958,2025,,
LVB,name,Louisville White Sox,1931,1931,LOW,NNL
LVB,name,Louisville Black Caps,1932,1932,LVB,NSL
LVB,location,Louisville,1931,1932,,
LOU,name,Louisville Eclipse,1882,1884,LS2,AA
LOU,name,Louisville Colonels,1885,1899,LS3,NL
LOU,location,Louisville,1882,1899,,
LGR,name,Louisville Grays,1876,1877,LS1,NL
LGR,location,Louisville,1876,1877,,
MRS,name,Memphis Red Sox,1923,1948,MRS,NAL
MRS,location,Memphis,1923,1948,,
FLA,name,Florida Marlins,1993,2011,FLO,NL
FLA,name,Miami Marlins,2012,2025,MIA,NL
FLA,location,Florida,1993,2011,,
FLA,location,Miami,2012,2025,,
MAN,name,Middletown Mansfields,1872,1872,MID,NA
MAN,location,Middletown,1872,1872,,
MB,name,Milwaukee Bears,1923,1923,MB,NNL
MB,location,Milwaukee,1923,1923,,
MLU,name,Milwaukee Brewers,1884,1884,MLU,UA
MLU,location,Milwaukee,1884,1884,,
MLA,name,Milwaukee Brewers,1891,1891,ML3,AA
MLA,location,Milwaukee,1891,1891,,
MIL,name,Seattle Pilots,1969,1969,SE1,AL
MIL,name,Milwaukee Brewers,1970,2025,MIL,NL
MIL,location,Seattle,1969,1969,,
MIL,location,Milwaukee,1970,2025,,
MLG,name,Milwaukee Grays,1878,1878,ML2,NL
MLG,location,Milwaukee,1878,1878,,
MIN,name,Washington Senators,1901,1960,WS1,AL
MIN,name,Minnesota Twins,1961,2025,MIN,AL
MIN,location,Washington,1901,1960,,
MIN,location,Minnesota,1961,2025,,
MRM,name,Monroe Monarchs,1932,1932,MRM,NSL
MRM,location,Monroe,1932,1932,,
MGS,name,Montgomery Grey Sox,1932,1932,MGS,NSL
MGS,location,Montgomery,1932,1932,,
NHV,name,New Haven Elm Citys,1875,1875,NH1,NA
NHV,location,New Haven,1875,1875,,
BG1,name,Atlantic City Bacharach Giants,1918,1921,AC,EAS
BG1,name,New York Bacharach Giants,1922,1922,NYB,IND
BG1,location,Atlantic City,1918,1921,,
BG1,location,New York,1922,1922,,
NBY,name,Harlem Stars,1931,1931,HAR,IND
NBY,name,New York Black Yankees,1932,1948,NBY,NN2
NBY,location,Harlem,1931,1931,,
NBY,location,New York,1932,1948,,
NYC,name,New York Cubans,1935,1948,NYC,NN2
NYC,location,New York,1935,1948,,
NYI,name,New York Giants,1890,1890,NYP,PL
NYI,location,New York,1890,1890,,
GOR,name,New York Gorhams,1891,1891,GOR,IND
GOR,location,New York,1891,1891,,
NLG,name,New York Lincoln Giants,1911,1930,NLG,IND
NLG,location,New York,1911,1930,,
NLS,name,New York Lincoln Stars,1914,1916,NLS,EAS
NLS,location,New York,1914,1916,,
NYP,name,New York Metropolitans,1883,1887,NY4,AA
NYP,location,New York,1883,1887,,
NYM,name,New York Mets,1962,2025,NYN,NL
NYM,location,New York,1962,2025,,
NNA,name,New York Mutuals,1871,1875,NY2,NA
NNA,location,New York,1871,1875,,
NYU,name,New York Mutuals,1876,1876,NY3,NL
NYU,location,New York,1876,1876,,
NYY,name,Baltimore Orioles,1901,1902,BLA,AL
NYY,name,New York Highlanders,1903,1912,NYA,AL
NYY,name,New York Yankees,1913,2025,NYA,AL
NYY,location,Baltimore,1901,1902,,
NYY,location,New York,1903,2025,,
NWB,name,Newark Browns,1932,1932,NWB,EWL
NWB,location,Newark,1932,1932,,
ND,name,Newark Dodgers,1934,1935,ND,NN2
ND,location,Newark,1934,1935,,
NE,name,Brooklyn Eagles,1935,1935,BE,NN2
NE,name,Newark Eagles,1936,1948,NE,NN2
NE,location,Brooklyn,1935,1935,,
NE,location,Newark,1936,1948,,
NEW,name,Indianapolis Hoosiers,1914,1914,IND,FL
NEW,name,Newark Pepper,1915,1915,NEW,FL
NEW,location,Indianapolis,1914,1914,,
NEW,location,Newark,1915,1915,,
NS,name,Newark Stars,1926,1926,NS,ECL
NS,location,Newark,1926,1926,,
OKM,name,Oklahoma Monarchs,1910,1910,OKM,WES
OKM,location,Oklahoma,1910,1910,,
PNA,name,Philadelphia Athletics,1871,1875,PH1,NA
PNA,location,Philadelphia,1871,1875,,
ATH,name,Philadelphia Athletics,1876,1876,PHN,NL
ATH,location,Philadelphia,1876,1876,,
PHA,name,Philadelphia Athletics,1882,1890,PH4,AA
PHA,location,Philadelphia,1882,1890,,
PHQ,name,Philadelphia Athletics,1890,1891,PH4,AA
PHQ,location,Philadelphia,1890,1891,,
PBG,name,Philadelphia Bacharach Giants,1934,1934,PBG,NN2
PBG,location,Philadelphia,1934,1934,,
CEN,name,Philadelphia Centennials,1875,1875,PH3,NA
CEN,location,Philadelphia,1875,1875,,
PG,name,Philadelphia Giants,1903,1911,PG,EAS
PG,location,Philadelphia,1903,1911,,
PHK,name,Philadelphia Keystones,1884,1884,PHU,UA
PHK,location,Philadelphia,1884,1884,,
PHI,name,Philadelphia Quakers,1883,1889,PHI,NL
PHI,name,Philadelphia Phillies,1890,1942,PHI,NL
PHI,name,Philadelphia Blue Jays,1943,1944,PHI,NL
PHI,name,Philadelphia Phillies,1945,2025,PHI,NL
