yearID,lgID,divID,teamID,franchID,name,Rank,G,W,L,R,RA,WSWin,LgWin
1884,UA,,WSU,WNA,Washington Nationals,7,112,47,65,572,679,,N
1885,NL,,BFN,BUF,Buffalo Bisons,7,112,38,74,495,761,N,N
1885,AA,,BL2,BLO,Baltimore Orioles,8,110,41,68,541,683,N,N
1885,AA,,BR3,LAD,Brooklyn Grays,5,112,53,59,624,650,N,N
1885,NL,,BSN,ATL,Boston Beaneaters,5,113,46,66,528,589,N,N
1885,NL,,CHN,CHC,Chicago White Stockings,1,113,87,25,834,470,N,Y
1885,AA,,CN2,CIN,Cincinnati Red Stockings,2,112,63,49,642,575,N,N
1885,NL,,DTN,DTN,Detroit Wolverines,6,108,41,67,514,582,N,N
1885,AA,,LS2,LOU,Louisville Colonels,6,112,53,59,564,598,N,N
1885,NL,,NY1,SFG,New York Giants,2,112,85,27,691,370,N,N
1885,AA,,NY4,NYP,New York Metropolitans,7,108,44,64,526,688,N,N
1885,AA,,PH4,PHA,Philadelphia Athletics,4,113,55,57,764,691,N,N
1885,NL,,PHI,PHI,Philadelphia Quakers,3,111,56,54,513,511,N,N
1885,NL,,PRO,PRO,Providence Grays,4,110,53,57,442,531,N,N
1885,AA,,PT1,PIT,Pittsburg Alleghenys,3,111,56,55,547,539,N,N
1885,AA,,SL4,STL,St. Louis Browns,1,112,79,33,677,461,N,Y
1885,NL,,SL5,SLM,St. Louis Maroons,8,111,36,72,390,593,N,N
1886,AA,,BL2,BLO,Baltimore Orioles,8,139,48,83,625,878,N,N
1886,AA,,BR3,LAD,Brooklyn Grays,3,141,76,61,832,832,N,N
1886,NL,,BSN,ATL,Boston Beaneaters,5,118,56,61,657,661,N,N
1886,NL,,CHN,CHC,Chicago White Stockings,1,126,90,34,900,555,N,Y
1886,AA,,CN2,CIN,Cincinnati Red Stockings,5,141,65,73,883,865,N,N
1886,NL,,DTN,DTN,Detroit Wolverines,2,126,87,36,829,538,N,N
1886,NL,,KCN,KCN,Kansas City Cowboys,7,123,30,91,494,872,N,N
1886,AA,,LS2,LOU,Louisville Colonels,4,138,66,70,833,805,N,N
1886,NL,,NY1,SFG,New York Giants,3,124,75,44,692,558,N,N
1886,AA,,NY4,NYP,New York Metropolitans,7,137,53,82,628,766,N,N
1886,AA,,PH4,PHA,Philadelphia Athletics,6,139,63,72,772,942,N,N
1886,NL,,PHI,PHI,Philadelphia Quakers,4,119,71,43,621,498,N,N
1886,AA,,PT1,PIT,Pittsburg Alleghenys,2,140,80,57,810,647,N,N
1886,AA,,SL4,STL,St. Louis Browns,1,139,93,46,944,592,Y,Y
